timestamp,side,top,bottom
1747668228.150,1152,1141,1110
1747668228.650,1147,1139,1111
1747668229.150,1148,1141,1111
1747668229.650,1150,1140,1112
1747668230.150,1151,1140,1110
1747668230.650,1149,1143,1109
1747668231.150,1153,1139,1107
1747668231.650,1152,1140,1108
1747668232.150,1153,1140,1109
1747668232.650,1151,1132,1115
1747668233.150,1150,1143,1108
1747668233.650,1154,1135,1112
1747668234.150,1149,1135,1114
1747668234.650,1152,1137,1112
1747668235.150,1152,1140,1111
1747668235.650,1151,1139,1109
1747668236.150,1148,1137,1113
1747668236.650,1151,1141,1109
1747668237.150,1154,1138,1110
1747668237.650,1153,1140,1108
1747668238.150,1151,1142,1109
1747668238.650,1151,1141,1117
1747668239.150,1152,1142,1113
1747668239.650,1153,1143,1113
