timestamp,side,top,bottom
1747667800.880,273,272,257
1747667801.380,271,271,258
1747667801.880,272,272,259
1747667802.380,273,272,258
1747667802.880,273,271,257
1747667803.380,274,272,255
1747667803.880,272,272,258
1747667804.380,274,271,257
1747667804.880,273,272,259
1747667805.380,272,272,256
1747667805.880,272,270,257
1747667806.380,272,272,255
1747667806.880,272,273,253
1747667807.380,273,270,257
1747667807.880,271,271,261
1747667808.380,273,273,259
1747667808.880,271,270,257
1747667809.380,273,272,258
1747667809.880,273,272,256
1747667810.380,271,270,256
1747667810.880,270,270,256
1747667811.380,272,269,256
1747667811.880,270,274,255
1747667812.380,273,270,258
