timestamp,side,top,bottom
1747668258.172,890,886,860
1747668134.232,887,886,856
1747668134.732,890,884,859
1747668135.232,888,882,857
1747668135.732,892,882,856
1747668136.232,893,883,859
1747668136.732,891,881,859
1747668137.232,891,884,857
1747668137.732,891,886,856
1747668138.232,891,880,861
1747668138.732,892,890,861
1747668139.232,890,880,859
1747668139.732,891,885,858
1747668140.232,891,880,858
1747668140.732,890,884,857
1747668141.232,887,881,858
1747668141.732,889,883,858
1747668142.232,890,883,857
1747668142.732,891,885,858
1747668143.232,889,882,858
1747668143.732,891,882,862
1747668144.232,888,886,858
