z_real_mm,side_avg_mm,top_avg_mm
257.0,272.2083333333333,271.375
551.3809523809524,574.0952380952381,569.4285714285714
858.2727272727273,890.1363636363636,883.4090909090909
1110.8333333333333,1151.125,1139.5
1363.142857142857,1407.6190476190477,1398.5714285714287
